XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1147444.16270282,5340213.32565367,91,37951,18.000000,714.000000,714,Chatham-Kent—Leamington,Chatham-Kent—Leamington,459.948689,13870.588728
1116716.84962612,5299293.99145319,92,37952,18.000000,704.000000,704,Chatham-Kent—Leamington,Chatham-Kent—Leamington,430.191969,11458.595750
1148162.16131850,5342657.55958231,93,37953,18.000000,716.000000,716,Chatham-Kent—Leamington,Chatham-Kent—Leamington,338.225422,6666.319566
1117194.32327860,5300548.90136238,94,37954,18.000000,706.000000,706,Chatham-Kent—Leamington,Chatham-Kent—Leamington,362.375697,7346.698730
1150626.76797122,5342275.51940497,95,37955,18.000000,722.000000,722,Chatham-Kent—Leamington,Chatham-Kent—Leamington,527.457631,16376.048815
1165192.99392414,5333939.09987310,96,37956,18.000000,723.000000,723,Chatham-Kent—Leamington,Chatham-Kent—Leamington,227.548767,2138.689550
1117160.26627663,5301798.77607856,97,37957,18.000000,705.000000,705,Chatham-Kent—Leamington,Chatham-Kent—Leamington,134.238540,1060.216775
1148665.68317903,5340826.53035765,98,37958,18.000000,719.000000,719,Chatham-Kent—Leamington,Chatham-Kent—Leamington,400.552044,9771.085651
1149167.31868290,5341758.97402448,99,37959,18.000000,718.000000,718,Chatham-Kent—Leamington,Chatham-Kent—Leamington,653.925147,24204.730793
1116144.26512440,5299923.04515583,100,37960,18.000000,701.000000,701,Chatham-Kent—Leamington,Chatham-Kent—Leamington,539.752609,15911.745383
1175118.61451763,5345578.00517345,101,37961,18.000000,725.000000,725,Chatham-Kent—Leamington,Chatham-Kent—Leamington,598.599069,20619.937305
1150054.08251416,5343982.84653597,102,37962,18.000000,32.000000,032,Chatham-Kent—Leamington,Chatham-Kent—Leamington,6406.530499,1297518.678470
1175267.39843410,5345882.68397538,103,37963,18.000000,52.000000,052,Chatham-Kent—Leamington,Chatham-Kent—Leamington,9482.715929,3696401.467420
1155816.31719898,5341949.47744090,104,37964,18.000000,42.000000,042,Chatham-Kent—Leamington,Chatham-Kent—Leamington,33708.916410,50053368.464900
1147680.09104314,5341103.69338562,105,37965,18.000000,23.000000,023,Chatham-Kent—Leamington,Chatham-Kent—Leamington,4144.099325,937633.664825
1147455.15984008,5342082.93525665,106,37966,18.000000,19.000000,019,Chatham-Kent—Leamington,Chatham-Kent—Leamington,9314.723420,2672755.625700
